start,tweet_count
2006-03-21,20
2006-03-22,22
2006-03-23,47
2006-03-24,54
2006-03-25,38
2006-03-26,53
2006-03-27,34
2006-03-28,58
2006-03-29,44
2006-03-30,50
2006-03-31,31
2006-04-01,85
2006-04-02,45
2006-04-03,67
2006-04-04,72
2006-04-05,45
2006-04-06,32
2006-04-07,60
2006-04-08,52
2006-04-09,40
2006-04-10,38
2006-04-11,39
2006-04-12,53
2006-04-13,48
2006-04-14,45
2006-04-15,42
2006-04-16,32
2006-04-17,21
2006-04-18,27
2006-04-19,32
2006-04-20,22
2006-04-21,44
2006-04-22,30
2006-04-23,32
2006-04-24,19
2006-04-25,23
2006-04-26,23
2006-04-27,18
2006-04-28,54
2006-04-29,43
2006-04-30,36
2006-05-01,40
2006-05-02,33
2006-05-03,40
2006-05-04,47
2006-05-05,52
2006-05-06,44
2006-05-07,41
2006-05-08,25
2006-05-09,68
2006-05-10,54
2006-05-11,69
2006-05-12,61
2006-05-13,53
2006-05-14,51
2006-05-15,61
2006-05-16,35
2006-05-17,27
2006-05-18,65
2006-05-19,67
2006-05-20,56
2006-05-21,45
2006-05-22,41
2006-05-23,33
2006-05-24,53
2006-05-25,36
2006-05-26,48
2006-05-27,48
2006-05-28,85
2006-05-29,36
2006-05-30,29
2006-05-31,45
2006-06-01,37
2006-06-02,39
2006-06-03,58
2006-06-04,32
2006-06-05,26
2006-06-06,37
2006-06-07,33
2006-06-08,41
2006-06-09,40
2006-06-10,30
2006-06-11,35
2006-06-12,31
2006-06-13,23
2006-06-14,43
2006-06-15,52
2006-06-16,38
2006-06-17,42
2006-06-18,23
2006-06-19,30
2006-06-20,43
2006-06-21,43
2006-06-22,45
2006-06-23,43
2006-06-24,70
2006-06-25,54
2006-06-26,34
2006-06-27,48
2006-06-28,61
2006-06-29,71
2006-06-30,46
2006-07-01,53
2006-07-02,45
2006-07-03,30
2006-07-04,45
2006-07-05,69
2006-07-06,51
2006-07-07,53
2006-07-08,39
2006-07-09,59
2006-07-10,44
2006-07-11,45
2006-07-12,72
2006-07-13,114
2006-07-14,161
2006-07-15,141
2006-07-16,141
2006-07-17,152
2006-07-18,221
2006-07-19,255
2006-07-20,159
2006-07-21,181
2006-07-22,133
2006-07-23,89
2006-07-24,110
2006-07-25,91
2006-07-26,99
2006-07-27,137
2006-07-28,143
2006-07-29,125
2006-07-30,70
2006-07-31,94
2006-08-01,130
2006-08-02,139
2006-08-03,119
2006-08-04,124
2006-08-05,112
2006-08-06,74
2006-08-07,63
2006-08-08,73
2006-08-09,81
2006-08-10,69
2006-08-11,77
2006-08-12,53
2006-08-13,39
2006-08-14,40
2006-08-15,60
2006-08-16,102
2006-08-17,104
2006-08-18,68
2006-08-19,55
2006-08-20,71
2006-08-21,103
2006-08-22,115
2006-08-23,100
2006-08-24,136
2006-08-25,140
2006-08-26,109
2006-08-27,93
2006-08-28,117
2006-08-29,130
2006-08-30,154
2006-08-31,149
2006-09-01,148
2006-09-02,108
2006-09-03,101
2006-09-04,157
2006-09-05,141
2006-09-06,130
2006-09-07,219
2006-09-08,265
2006-09-09,194
2006-09-10,201
2006-09-11,210
2006-09-12,268
2006-09-13,268
2006-09-14,253
2006-09-15,254
2006-09-16,184
2006-09-17,134
2006-09-18,168
2006-09-19,223
2006-09-20,190
2006-09-21,221
2006-09-22,225
2006-09-23,125
2006-09-24,125
2006-09-25,180
2006-09-26,208
2006-09-27,209
2006-09-28,198
2006-09-29,234
2006-09-30,181
2006-10-01,122
2006-10-02,161
2006-10-03,193
